cliente_id,nombre_completo,email,latitud,longitud
1,Eloy Bonet Ramón,candido06@example.net,60.9462805,-1.652719
2,Tamara Azorin Cuervo,nicolasmugica@example.net,-24.1894635,-92.072973
3,Víctor Rubio Bonilla,abecerra@example.com,30.345443,-125.219453
4,Arturo Cisneros Cases,manzanaresviviana@example.com,63.923061,76.046292
5,Joel Arco-Mayol,azahara73@example.net,81.4649095,102.971208
6,Rufina Miró-Alberola,bvilalta@example.net,54.5577085,162.713296
7,Vilma Serafina Torre Viñas,gperera@example.org,83.262028,-82.576765
8,Yago Torrens Juárez,nicanornavas@example.net,15.010152,-140.652314
9,Gala Navarrete Alegre,deliaborja@example.net,7.580408,-173.112425
10,Crescencia Ramirez Vallejo,maestreana-belen@example.net,-27.3543635,112.149103
11,Carmen Corral Sales,cserra@example.org,-53.8343345,64.995845
12,Agustín Jerez,isidora46@example.net,22.8388085,-179.809232
13,Martin Barros Vicens,laura11@example.com,-87.701868,107.655982
14,Angelina Quintero Andres,juan-francisco70@example.net,-0.1196105,42.302988
15,Aitana Céspedes Rius,coboramon@example.net,-26.927484,-137.921952
16,Reynaldo Villena Ponce,esteban46@example.com,-56.050980,107.183282
17,Lorena Carreras Diaz,drosell@example.net,-53.488540,64.136990
18,Félix Sandoval Sanmartín,timoteo02@example.net,-2.7970475,97.477753
19,Manu Cervantes,angelita18@example.net,9.052830,-59.255437
20,Evita Buendía-Llabrés,herminiomontserrat@example.com,16.882994,-156.901303
21,Anita Figueras,martaalemany@example.org,-17.992243,123.130465
22,Aristides del Blanes,casandra82@example.net,-53.641496,79.823531
23,Patricia Puig Anaya,leyre97@example.com,16.250327,-59.660489
24,Ángela Cases,urrutiaolegario@example.net,66.933764,-114.331925
25,Geraldo Serna Paredes,wmoles@example.org,30.5400955,4.164588
26,Segismundo Escrivá,abarrios@example.com,44.3451805,-37.471926
27,Tiburcio Peñalver Pedrosa,martidonato@example.com,44.9772875,145.049296
28,Amor Pintor Aznar,gmartin@example.com,63.955873,-5.680627
29,Moisés del Larrañaga,pnunez@example.net,32.2686445,88.970078
30,Yolanda Llopis-Navas,esparzaduilio@example.org,24.922582,174.444679
31,Paula Catalán Tejada,sosacamila@example.org,-2.532717,18.524629
32,Marcelino de Silva,julieta90@example.com,13.750539,-57.820487
33,Tristán Isern López,sigfridopallares@example.com,-78.348195,145.912078
34,Jose Ramón Cózar Figuerola,leonbeatriz@example.org,52.601382,-75.816356
35,Josep Toribio Solsona Gomez,belen11@example.com,74.513709,112.573902
36,Elisa de Viñas,pozasantos@example.com,-60.2176085,-147.706193
37,Iris Ruano-Villar,fabio72@example.org,-33.190991,-50.446863
38,Donato Galindo Beltrán,aamigo@example.com,86.150957,-7.170890
39,Ale de Hoz,lmanuel@example.com,-59.742091,-28.308210
40,Cloe Villalba Amo,mireia27@example.org,21.209683,-60.787983
41,Narcisa Royo,yfabregat@example.org,43.3945365,-157.132195
42,Buenaventura Jordán Campillo Cases,seguiangeles@example.com,58.122740,149.966047
43,Iván Viñas Osorio,primitivo36@example.org,-61.619139,93.009627
44,Manu Morcillo Blanch,rodrigoescolano@example.com,-56.1376815,75.101818
45,Teodoro Adadia Cámara,muroanacleto@example.org,-50.698584,-62.386111
46,Irene Font Quiroga,barberoevaristo@example.org,33.838560,-131.527346
47,Nicanor Armengol Palomar,pfabregas@example.org,25.776441,3.318520
48,Arsenio Agustí Manzanares,haydee65@example.org,-73.6589915,-148.885574
49,Ana Sofía de Iborra,joel28@example.org,72.3211995,164.034307
